Código Institución,Código Modular,Anexo,Nombre de SS.EE.,Ubigeo,Departamento,Provincia,Distrito,Código DRE/UGEL,DRE / UGEL,Centro Poblado,Código Centro Poblado,Código Local,Dirección,Nivel / Modalidad,Gestion / Dependencia,Latitud,Longitud,Altitud,Fuente de coordenadas
22787942.0,1643212,0,17135,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,TUPAC AMARU II,651105,850623.0,TUPAC AMARU II,Inicial - Jardín,Pública - Sector Educación,-4.86944003,-78.19383505,251,UGELCENSO_GPS (LOCAL)
22871269.0,1633833,0,TUPAC AMARU II,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,TUPAC AMARU II,651105,706485.0,TUPAC AMARU II,Secundaria,Pública - Sector Educación,-4.86974511,-78.1929679,255,UGEL_GPS (LOCAL)
20179864.0,1373026,0,17842,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,UCHI NAYUM,653751,534719.0,UCHI NAYUM,Primaria,Pública - Sector Educación,-4.82592951,-78.52726549,573,MED_GPS (LOCAL)
20188286.0,1743731,0,372,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,UCHI NAYUM,653751,818888.0,UCHI NAYUM,Inicial - Jardín,Pública - Sector Educación,-4.82593416,-78.52779708,575,UGEL_GPS (LOCAL)
,3965956,0,UKAIM,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,UKAIM,684087,113735.0,UKAIM,Inicial No Escolarizado,Pública - Sector Educación,-5.155359,-78.199149,315,MED_REG (LOCAL)
20189436.0,1412261,0,17838,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,UMUKAI,244679,563066.0,ANEXO UMUKAI NAZARETH,Primaria,Pública - Sector Educación,-5.14568874,-78.30434659,301,UGELCENSO_GPS (LOCAL)
20182164.0,1620574,0,294,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,UMUKAI,244679,685143.0,ANEXO UMUKAI NAZARETH,Inicial - Jardín,Pública - Sector Educación,-5.1437,-78.3042,306,GPS_OTRAS_FUENTES (LOCAL)
20189274.0,623405,0,TEETS TSEJE,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,UMUKAI,244679,4786.0,UMUKAI S/N,Secundaria,Pública - Sector Educación,-5.14354093,-78.30739032,296,UGELCENSO_GPS (LOCAL)
,3924620,0,UMUKAI KUSU,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,UMUKAI KUSU,654681,102776.0,UMUKAI KUSU,Inicial No Escolarizado,Pública - Sector Educación,-4.780064,-78.298402,248,MED_REG (LOCAL)
26643996.0,3056363,0,480,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,UMUKAI PAKUI,653269,915950.0,UMUKAI PAKUI,Inicial - Jardín,Pública - Sector Educación,-5.198357,-78.277909,309,MED_REG (LOCAL)
22408933.0,3007093,0,17901,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,UNTI TEMASHNUM,692827,901731.0,UNTI TEMASHNUM,Primaria,Pública - Sector Educación,-5.11102438,-78.36760283,283,MED_REG (LOCAL)
22837117.0,270116,0,16356,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,UUT,128874,3956.0,UUT S/N,Primaria,Pública - Sector Educación,-4.9805,-78.3323,277,GPS_OTRAS_FUENTES (LOCAL)
20182733.0,1464957,0,302,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,UUT,128874,591597.0,UUT,Inicial - Jardín,Pública - Sector Educación,-4.98044658,-78.33260548,272,UGEL_GPS (LOCAL)
26083540.0,3039245,0,JACOB SHAJIAN ANTUNCE,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,UUT,128874,910212.0,UUT,Secundaria,Pública - Sector Educación,-4.9843812,-78.32872152,385,MED_REG (LOCAL)
,3965289,0,UWAN ENTSA,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,UWAN ENTSA,684066,113717.0,UWAN ENTSA,Inicial No Escolarizado,Pública - Sector Educación,-5.146287,-78.251511,295,MED_REG (LOCAL)
,3877626,0,UYAI,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,UYAI,682962,109576.0,UYAI,Inicial No Escolarizado,Pública - Sector Educación,-5.234555,-78.108088,555,MED_REG (LOCAL)
23146150.0,1663293,0,17854,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,UYAI ENTSA,684408,745359.0,UYAI ENTSA,Primaria,Pública - Sector Educación,-5.23712,-78.11165,555,UGELCENSO_GPS (LOCAL)
,1692481,0,UYAI ENTSA,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,UYAI ENTSA,654680,110861.0,UYAI ENTSA,Inicial No Escolarizado,Pública - Sector Educación,-5.080535,-78.342347,273,MED_REG (LOCAL)
26280974.0,1464965,0,17847,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,UYU ENTSA,652962,591601.0,UYU ENTSA,Primaria,Pública - Sector Educación,-5.23277572,-78.25635941,320,MED_GPS (LOCAL)
26643163.0,3056330,0,476,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,UYU ENTSA,652962,915926.0,UYU ENTSA,Inicial - Jardín,Pública - Sector Educación,-5.23285,-78.256773,320,MED_REG (LOCAL)
20190574.0,1307511,0,17805,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,VILLA HERMOSA,651107,520604.0,VILLA HERMOSA,Primaria,Pública - Sector Educación,-5.18909289,-78.31107588,354,MED_GPS (LOCAL)
20189843.0,1347707,0,17829,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,VILLA RICA,652556,517263.0,VILLA RICA,Primaria,Pública - Sector Educación,-4.97817757,-78.22537211,441,MED_GPS (LOCAL)
,1698105,0,VILLA RICA,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,VILLA RICA,652556,110888.0,VILLA RICA,Inicial No Escolarizado,Pública - Sector Educación,-4.978208,-78.224856,438,MED_REG (LOCAL)
24661008.0,1401124,0,FE Y ALEGRIA 62 SAN JOSE,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,WACHAPEA,532029,4734.0,WACHAPEA MISION,Inicial - Jardín,Pública - En convenio,-5.15484566,-78.28849733,288,UGELCENSO_GPS (LOCAL)
24661008.0,402248,0,FE Y ALEGRIA 62 SAN JOSE,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,WACHAPEA,532029,4734.0,WACHAPEA MISION,Primaria,Pública - En convenio,-5.15484566,-78.28849733,288,UGELCENSO_GPS (LOCAL)
